wknr	wkname	state	eligibles	eligibles_last	firstvote	firstvote_last	secondvote	secondvote_last	firstvote_valid	firstvote_valid_last	secondvote_valid	secondvote_valid_last	cdu1	cdu1_last	cdu2	cdu2_last	spd1	spd1_last	spd2	spd2_last	lin1	lin1_last	lin2	lin2_last	gru1	gru1_last	gru2	gru2_last	csu1	csu1_last	csu2	csu2_last	fdp1	fdp1_last	fdp2	fdp2_last	afd1	afd1_last	afd2	afd2_last
1	Flensburg – Schleswig	Schleswig-Holstein	225659	226944	171905	162749	171905	162749	170258	160526	170396	160636	68102	68235	58307	61347	47697	59718	40376	52396	12138	7436	13995	9084	17899	12491	22290	15734					11143	3039	18948	8065	10581	5234	11647	6563
2	Nordfriesland – Dithmarschen Nord	Schleswig-Holstein	186384	186177	139200	131527	139200	131527	137901	129879	138075	130044	62260	64678	52933	56383	34685	41714	31120	38590	7102	4653	8589	5733	13036	8465	15154	10547					11103	3172	18048	8321	8110	3973	9023	4994
3	Steinburg – Dithmarschen Süd	Schleswig-Holstein	175950	176731	132016	126409	132016	126409	130883	124886	130875	124958	54812	56669	47367	52408	34221	42476	29757	37502	7175	4909	8732	6286	8791	6386	12960	9485					14441	6324	17294	7689	10003	4468	11176	5492
4	Rendsburg-Eckernförde	Schleswig-Holstein	199632	198903	157387	149583	157387	149583	156102	147840	156268	147967	66625	66775	56584	60349	45070	54397	35767	46658	8074	4902	9962	6447	13978	10306	19337	13707					10077	2754	19071	8126	10656	5084	11578	6500
5	Kiel	Schleswig-Holstein	204650	205243	151463	146452	151463	146452	149806	144778	150173	144969	45691	47925	40011	43893	46517	62271	35836	50262	11050	7622	15466	10023	21577	14435	25904	20394					11179	3069	17480	7708	9193	4040	10390	5379
6	Plön – Neumünster	Schleswig-Holstein	174934	174746	131710	127093	131710	127093	130489	125412	130514	125573	53109	54833	43778	48683	37728	47085	31013	41094	7009	4708	8503	5987	11736	7979	16350	11577					9379	2322	16481	6722	10223	4837	11161	5901
7	Pinneberg	Schleswig-Holstein	237474	235610	187711	179055	187711	179055	186095	177352	186372	177373	73816	80483	63863	72006	56460	64006	42729	55371	11270	6985	13111	8910	15379	11324	21336	15291					14441	3303	24735	9863	14729	6766	15977	8479
8	Segeberg – Stormarn-Mitte	Schleswig-Holstein	245826	244240	193318	183250	193318	183250	191690	181515	191937	181590	78788	82471	66367	74161	52406	63998	43021	54691	10832	7003	13237	9112	16001	11141	21010	15695					15610	3722	26042	10449	15683	6879	17166	9034
9	Ostholstein – Stormarn-Nord	Schleswig-Holstein	181480	180022	138415	131939	138415	131939	137264	130388	137273	130487	56994	59783	48893	53705	42221	48349	33762	41134	6062	4469	8301	5663	9535	7145	13489	10490					10044	2962	18140	8036	10787	4897	11780	6471
10	Herzogtum Lauenburg – Stormarn-Süd	Schleswig-Holstein	244503	241257	193359	182982	193359	182982	191762	181274	191971	181422	75737	81954	66033	73603	52169	62749	42813	53944	9785	6834	12478	8962	18688	12774	20827	16579					15773	3901	26162	10878	17435	8351	18791	10210
11	Lübeck	Schleswig-Holstein	181637	181923	130976	124711	130976	124711	128759	123148	129805	123271	45447	44896	38262	42218	43574	50119	32927	42083		6662	12219	7970	16787	9475	16558	13638					8311	2958	14102	5857	11135	4152	11549	5323
12	Schwerin – Ludwigslust-Parchim I – Nordwestmecklenburg I	Mecklenburg-Vorpommern	216743	219903	157070	148470	157070	148470	155103	145965	155412	146337	49734	56912	51082	59028	34267	37832	28948	31543	26656	32373	25929	29838	5837	5194	6606	6526					7470	2253	9878	3298	24763		25692	7729
